tissue	group	total.mRNA.mol	well	sex	age	diameter	cell_id	level1class	level2class
sscortex	1	25402	87	-1	20	10	1772071017_G11	interneurons	Int6
ca1hippocampus	1	18133	93	-1	26	13.9	1772067054_E12	interneurons	Int6
ca1hippocampus	1	17533	90	1	31	10.4	1772067083_B12	interneurons	Int6
ca1hippocampus	1	14397	7	-1	26	0	1772067054_G01	interneurons	Int5
ca1hippocampus	1	13325	9	-1	26	11.1	1772067096_A02	interneurons	Int3
ca1hippocampus	1	9792	40	1	24	8.89	1772067093_H05	interneurons	Int7
ca1hippocampus	1	12715	66	1	31	0	1772067083_B09	interneurons	Int4
sscortex	1	25329	96	1	21	11.1	1772071014_H12	interneurons	Int6
ca1hippocampus	1	16936	88	1	31	11.9	1772067082_H11	interneurons	Int8
ca1hippocampus	1	23328	44	1	24	21.1	1772067094_D06	interneurons	Int7
sscortex	1	26480	22	1	21	12.5	1772071015_F03	interneurons	Int6
sscortex	1	30120	82	1	21	12	1772071015_B11	interneurons	Int5
sscortex	1	27472	79	1	21	11.7	1772071014_G10	interneurons	Int6
sscortex	1	14280	50	1	25	0	1772067066_B07	interneurons	Int6
sscortex	1	15709	7	1	25	8.34	1772067065_G01	interneurons	Int6
sscortex	1	45260	54	1	21	8.04	1772071015_F07	interneurons	Int6
sscortex	1	28792	53	1	25	0	1772067065_E07	interneurons	Int6
sscortex	1	17659	75	1	21	0	1772071015_C10	interneurons	Int6
sscortex	1	21912	45	-1	24	11.1	1772067063_E06	interneurons	Int7
sscortex	1	39220	81	1	25	12.3	1772067065_A11	interneurons	Int6
sscortex	1	34681	95	1	21	14.7	1772071015_G12	interneurons	Int7
ca1hippocampus	1	16273	52	-1	27	0	1772067058_D07	interneurons	Int7
sscortex	1	19394	4	1	25	12.5	1772067065_D01	interneurons	Int7
sscortex	1	25005	9	1	21	9.2	1772071015_A02	interneurons	Int7
sscortex	1	14100	6	1	21	12.7	1772071014_F01	interneurons	Int7
sscortex	1	25874	44	1	21	11.5	1772071015_D06	interneurons	Int12
sscortex	1	47064	10	-1	20	12.4	1772071017_B02	interneurons	Int16
sscortex	1	38196	52	-1	20	8.21	1772071017_D07	interneurons	Int12
sscortex	1	20143	81	-1	20	11.3	1772071017_A11	interneurons	Int12
sscortex	1	19323	2	-1	20	12.3	1772071017_B01	interneurons	Int12
sscortex	1	33531	51	-1	20	12.3	1772071017_C07	interneurons	Int12
sscortex	1	21256	88	1	21	11	1772071015_H11	interneurons	Int12
sscortex	1	19253	33	1	21	10.9	1772071014_A05	interneurons	Int12
sscortex	1	24069	73	-1	20	13.5	1772071017_A10	interneurons	Int12
sscortex	1	22520	59	-1	20	8.12	1772071017_C08	interneurons	Int12
sscortex	1	13239	66	-1	20	13.1	1772071017_B09	interneurons	Int12
sscortex	1	11102	65	1	25	0	1772067066_A09	interneurons	Int12
sscortex	1	15674	89	1	25	11.1	1772067065_A12	interneurons	Int12
sscortex	1	20560	31	1	21	10.4	1772071015_G04	interneurons	Int12
sscortex	1	18567	10	1	25	10.7	1772067066_B02	interneurons	Int12
sscortex	1	20285	45	1	21	11	1772071015_E06	interneurons	Int12
sscortex	1	29523	29	-1	24	10.8	1772067064_E04	interneurons	Int12
sscortex	1	19080	3	1	21	10.2	1772071015_C01	interneurons	Int12
sscortex	1	19674	46	1	21	9.15	1772071014_F06	interneurons	Int16
sscortex	1	31189	76	-1	20	10.2	1772071017_D10	interneurons	Int16
sscortex	1	22350	35	-1	20	0	1772071017_C05	interneurons	Int16
sscortex	1	23662	37	1	21	9.44	1772071014_E05	interneurons	Int16
sscortex	1	35456	29	-1	20	12	1772071017_E04	interneurons	Int16
sscortex	1	14633	60	1	26	11.1	1772058148_D08	interneurons	Int12
sscortex	1	20026	54	1	25	7.6	1772067065_F07	interneurons	Int16
sscortex	1	13113	63	1	23	13.1	1772062128_G08	interneurons	Int3
ca1hippocampus	1	33358	10	1	23	12.7	1772066102_B02	interneurons	Int1
sscortex	1	17272	18	-1	26	11.1	1772063077_B03	interneurons	Int1
sscortex	1	33676	24	1	27	14.3	1772062114_H03	interneurons	Int1
ca1hippocampus	1	24920	17	-1	26	13.8	1772066074_A03	interneurons	Int1
ca1hippocampus	1	35574	67	1	23	11.5	1772066102_C09	interneurons	Int2
sscortex	1	35088	13	1	27	9.56	1772062114_E02	interneurons	Int1
sscortex	1	9929	55	1	26	9.9	1772063068_G07	interneurons	Int1
sscortex	1	17937	89	-1	28	11.3	1772062115_A12	interneurons	Int1
sscortex	1	15199	62	-1	26	14.1	1772062113_F08	interneurons	Int1
ca1hippocampus	1	19717	10	1	23	8.06	1772066108_B02	interneurons	Int2
ca1hippocampus	1	23282	47	1	23	12.4	1772066102_G06	interneurons	Int2
ca1hippocampus	1	52333	21	-1	23	6.98	1772067059_E03	interneurons	Int2
ca1hippocampus	1	19995	31	1	28	12	1772071035_G04	interneurons	Int2
ca1hippocampus	1	27722	43	1	23	11	1772066102_C06	interneurons	Int2
ca1hippocampus	1	35926	16	-1	27	11.5	1772067057_H02	interneurons	Int2
sscortex	1	23382	39	-1	28	10.9	1772062115_G05	interneurons	Int2
ca1hippocampus	1	12625	23	-1	26	7.66	1772066097_G03	interneurons	Int4
sscortex	1	18889	63	1	20	10.8	1772063064_G08	interneurons	Int4
ca1hippocampus	1	14847	2	1	31	8.57	1772067082_B01	interneurons	Int4
ca1hippocampus	1	22383	27	1	23	11.6	1772066099_C04	interneurons	Int4
sscortex	1	22813	89	-1	23	11.2	1772071040_A12	interneurons	Int2
sscortex	1	21846	6	-1	27	10.9	1772063078_F01	interneurons	Int2
ca1hippocampus	1	17597	22	1	31	8.79	1772067082_F03	interneurons	Int2
ca1hippocampus	1	15098	17	-1	24	14.5	1772071044_A03	interneurons	Int2
ca1hippocampus	1	37837	26	-1	23	12.3	1772067060_B04	interneurons	Int2
ca1hippocampus	1	25827	83	-1	24	11.2	1772071045_C11	interneurons	Int2
ca1hippocampus	1	20796	74	1	31	12.7	1772067083_B10	interneurons	Int2
ca1hippocampus	1	22497	61	-1	23	13.3	1772066077_E08	interneurons	Int2
sscortex	1	11787	94	-1	27	11.6	1772063078_F12	interneurons	Int2
sscortex	1	9101	35	-1	28	9.87	1772062115_C05	interneurons	Int1
ca1hippocampus	1	28439	83	1	23	13.9	1772066099_C11	interneurons	Int3
sscortex	1	12825	23	1	20	10.5	1772063064_G03	interneurons	Int9
ca1hippocampus	1	16141	69	1	28	0	1772071036_E09	interneurons	Int13
sscortex	1	15135	84	1	23	12.3	1772062128_D11	interneurons	Int3
ca1hippocampus	1	29096	89	-1	27	11.9	1772067058_A12	interneurons	Int3
sscortex	1	20706	10	-1	27	19.1	1772063078_B02	interneurons	Int14
ca1hippocampus	1	26742	45	1	23	11.5	1772066108_E06	interneurons	Int13
ca1hippocampus	1	12429	89	1	24	6.63	1772066100_A12	interneurons	Int13
ca1hippocampus	1	16333	18	-1	26	6.19	1772066073_B03	interneurons	Int13
ca1hippocampus	1	35308	41	0	26	12.8	1772067076_A06	interneurons	Int13
sscortex	1	9008	23	1	24	12.5	1772062111_G03	interneurons	Int14
sscortex	1	10930	24	-1	31	9.83	1772063061_H03	interneurons	Int15
ca1hippocampus	1	17196	40	-1	26	13	1772066097_H05	interneurons	Int13
sscortex	1	18072	9	1	25	7.67	1772067065_A02	interneurons	Int10
ca1hippocampus	1	12924	96	-1	23	13.1	1772066077_H12	interneurons	Int15
sscortex	1	12728	31	1	23	13.4	1772062128_G04	interneurons	Int14
sscortex	1	14225	24	1	22	11.6	1772062109_H03	interneurons	Int15
sscortex	1	19945	6	-1	21	14.1	1772063063_F01	interneurons	Int7
sscortex	1	16944	74	1	23	14.4	1772062128_B10	interneurons	Int6
sscortex	1	15676	18	-1	31	9.55	1772063061_B03	interneurons	Int8
sscortex	1	24848	34	-1	31	21.3	1772063061_B05	interneurons	Int5
sscortex	1	20881	71	1	20	14.3	1772058177_G09	interneurons	Int6
ca1hippocampus	1	25539	12	-1	27	0	1772066095_D02	interneurons	Int8
ca1hippocampus	1	31357	95	-1	26	23.5	1772066097_G12	interneurons	Int8
ca1hippocampus	1	23171	15	-1	26	14.5	1772066097_G02	interneurons	Int5
ca1hippocampus	1	15209	55	1	24	15	1772066100_G07	interneurons	Int8
ca1hippocampus	1	11797	8	-1	26	10.2	1772066097_H01	interneurons	Int5
ca1hippocampus	1	10526	24	-1	24	0	1772071045_H03	interneurons	Int8
ca1hippocampus	1	12493	62	1	31	8.58	1772067083_F08	interneurons	Int5
ca1hippocampus	1	10013	8	1	31	9.65	1772067083_H01	interneurons	Int5
ca1hippocampus	1	27633	30	1	24	0	1772066101_F04	interneurons	Int5
ca1hippocampus	1	17139	96	-1	27	20.8	1772067058_H12	interneurons	Int5
ca1hippocampus	1	29077	14	1	31	6.59	1772067082_F02	interneurons	Int5
ca1hippocampus	1	33120	40	-1	27	0	1772067058_H05	interneurons	Int5
ca1hippocampus	1	33883	66	1	28	14.1	1772071035_B09	interneurons	Int5
sscortex	1	51015	56	1	21	6.54	1772071015_H07	interneurons	Int5
ca1hippocampus	1	51038	11	1	28	12.9	1772071036_C02	interneurons	Int5
ca1hippocampus	1	39022	30	1	23	16.2	1772066108_F04	interneurons	Int5
ca1hippocampus	1	24621	16	1	28	0	1772071035_H02	interneurons	Int5
sscortex	1	33059	56	1	22	9.87	1772062109_H07	interneurons	Int8
ca1hippocampus	1	33895	21	0	26	15	1772067076_E03	interneurons	Int6
ca1hippocampus	1	46107	79	-1	23	0	1772067059_G10	interneurons	Int5
ca1hippocampus	1	41577	28	0	26	12.7	1772067076_D04	interneurons	Int8
ca1hippocampus	1	34933	48	1	23	13.3	1772066099_H06	interneurons	Int8
ca1hippocampus	1	30842	95	1	23	14.6	1772066102_G12	interneurons	Int8
ca1hippocampus	1	57842	53	1	28	0	1772071035_E07	interneurons	Int7
ca1hippocampus	1	35517	10	-1	26	7.35	1772066073_B02	interneurons	Int8
ca1hippocampus	1	22359	17	0	26	0	1772067076_A03	interneurons	Int8
ca1hippocampus	1	30948	82	1	23	11.8	1772066102_B11	interneurons	Int8
ca1hippocampus	1	26941	1	-1	24	15.1	1772066089_A01	interneurons	Int8
ca1hippocampus	1	27407	1	1	23	12.9	1772066099_A01	interneurons	Int8
ca1hippocampus	1	32145	32	-1	27	14.5	1772067057_H04	interneurons	Int8
ca1hippocampus	1	36954	83	1	23	13.7	1772066102_C11	interneurons	Int7
ca1hippocampus	1	17367	73	-1	24	9.69	1772071045_A10	interneurons	Int7
ca1hippocampus	1	22103	7	-1	27	10.8	1772066096_G01	interneurons	Int8
ca1hippocampus	1	18779	80	1	23	11	1772066102_H10	interneurons	Int8
ca1hippocampus	1	19046	91	1	23	12.5	1772066099_C12	interneurons	Int8
ca1hippocampus	1	30242	80	-1	24	19.9	1772071044_H10	interneurons	Int7
ca1hippocampus	1	11662	76	1	31	0	1772067083_D10	interneurons	Int7
ca1hippocampus	1	16857	29	1	23	11.8	1772066099_E04	interneurons	Int7
ca1hippocampus	1	13031	60	1	24	13.2	1772066100_D08	interneurons	Int7
ca1hippocampus	1	9818	16	1	23	0	1772066099_H02	interneurons	Int5
ca1hippocampus	1	12756	32	-1	24	11.1	1772066089_H04	interneurons	Int3
ca1hippocampus	1	16690	42	-1	24	13	1772066089_B06	interneurons	Int8
ca1hippocampus	1	14830	63	1	23	10.4	1772066102_G08	interneurons	Int8
ca1hippocampus	1	14998	25	1	23	12	1772066102_A04	interneurons	Int4
ca1hippocampus	1	16930	42	-1	26	13	1772066097_B06	interneurons	Int8
ca1hippocampus	1	25538	29	0	26	12.8	1772067076_E04	interneurons	Int8
ca1hippocampus	1	16519	43	-1	26	15.3	1772066097_C06	interneurons	Int8
ca1hippocampus	1	22707	92	-1	27	11.8	1772067057_D12	interneurons	Int6
ca1hippocampus	1	13977	33	1	24	0	1772066100_A05	interneurons	Int7
ca1hippocampus	1	7121	22	1	24	10.1	1772066101_F03	interneurons	Int4
sscortex	1	7104	41	1	21	8.95	1772071014_A06	interneurons	Int10
sscortex	1	13598	81	1	21	11.6	1772071015_A11	interneurons	Int10
sscortex	1	12302	67	1	21	0	1772071015_C09	interneurons	Int10
sscortex	1	6969	41	-1	21	11.6	1772063071_A06	interneurons	Int10
sscortex	1	8390	70	1	26	0	1772058148_F09	interneurons	Int10
sscortex	1	8050	72	1	25	20	1772067066_H09	interneurons	Int10
sscortex	1	8007	79	1	25	7.09	1772067065_G10	interneurons	Int10
sscortex	1	9559	33	1	21	10.7	1772071015_A05	interneurons	Int10
sscortex	1	9258	74	1	25	11.7	1772067065_B10	interneurons	Int10
sscortex	1	9287	1	1	25	11.8	1772067065_A01	interneurons	Int10
sscortex	1	14325	78	1	23	11.6	1772062128_F10	interneurons	Int7
sscortex	1	16492	48	-1	20	10.4	1772071017_H06	interneurons	Int10
sscortex	1	14187	89	1	21	10.3	1772071014_A12	interneurons	Int6
sscortex	1	8010	62	1	25	7.09	1772067065_F08	interneurons	Int6
sscortex	1	9335	32	1	26	10.4	1772058148_H04	interneurons	Int6
ca1hippocampus	1	9425	42	1	23	14.3	1772066102_B06	interneurons	Int6
sscortex	1	10709	40	-1	26	7.11	1772063077_H05	interneurons	Int8
ca1hippocampus	1	21262	89	0	26	13.8	1772067076_A12	interneurons	Int4
sscortex	1	6247	90	1	25	10.8	1772067065_B12	interneurons	Int15
sscortex	1	13544	87	1	25	10.5	1772067065_G11	interneurons	Int16
sscortex	1	10498	73	1	25	11.7	1772067066_A10	interneurons	Int15
sscortex	1	10203	13	1	25	0	1772067066_E02	interneurons	Int7
sscortex	1	12267	81	1	25	11.4	1772067066_A11	interneurons	Int16
sscortex	1	9795	66	1	25	0	1772067065_B09	interneurons	Int14
sscortex	1	9859	78	1	25	10.7	1772067065_F10	interneurons	Int14
sscortex	1	10839	24	-1	21	10.4	1772063063_H03	interneurons	Int4
sscortex	1	15974	1	-1	20	11.7	1772071017_A01	interneurons	Int15
sscortex	1	11743	28	1	25	19.3	1772067066_D04	interneurons	Int9
sscortex	1	8159	95	1	25	9.04	1772067065_G12	interneurons	Int9
sscortex	1	12883	39	-1	20	11.1	1772071017_G05	interneurons	Int9
sscortex	1	17105	92	-1	20	11.5	1772071017_D12	interneurons	Int9
sscortex	1	15589	1	1	21	17.4	1772071015_A01	interneurons	Int10
sscortex	1	15121	80	-1	20	10.2	1772071017_H10	interneurons	Int9
sscortex	1	13216	74	-1	27	11.7	1772063070_B10	interneurons	Int11
sscortex	1	6663	11	-1	23	7.6	1772063065_C02	interneurons	Int15
sscortex	1	10407	77	1	21	0	1772071015_E10	interneurons	Int16
ca1hippocampus	1	7545	66	1	31	0	1772067082_B09	interneurons	Int16
sscortex	1	10302	8	-1	28	11.3	1772062115_H01	interneurons	Int14
sscortex	1	6184	42	-1	23	11.6	1772071041_B06	interneurons	Int15
ca1hippocampus	1	18474	35	-1	23	11.2	1772066090_C05	interneurons	Int14
ca1hippocampus	1	12188	54	-1	26	9.69	1772067096_F07	interneurons	Int12
sscortex	1	13443	38	1	21	8.58	1772071015_F05	interneurons	Int12
ca1hippocampus	1	7688	31	1	31	10.8	1772067083_G04	interneurons	Int16
sscortex	1	7076	47	-1	28	10.1	1772062115_G06	interneurons	Int15
sscortex	1	11973	71	1	21	10.4	1772071015_G09	interneurons	Int16
ca1hippocampus	1	12490	54	-1	27	0	1772066095_F07	interneurons	Int15
sscortex	1	12862	15	-1	20	11.3	1772071017_G02	interneurons	Int15
sscortex	1	13333	83	1	24	13.4	1772062111_C11	interneurons	Int16
sscortex	1	11281	24	1	26	10.7	1772058148_H03	interneurons	Int15
ca1hippocampus	1	7598	44	1	24	13.3	1772066100_D06	interneurons	Int15
sscortex	1	9035	75	-1	20	11.3	1772071017_C10	interneurons	Int15
sscortex	1	13662	74	1	21	12.4	1772071014_B10	interneurons	Int14
sscortex	1	9572	47	1	23	11.1	1772062128_G06	interneurons	Int9
ca1hippocampus	1	7052	57	-1	27	13.2	1772067057_A08	interneurons	Int7
sscortex	1	8460	94	1	26	12	1772063068_F12	interneurons	Int11
sscortex	1	8243	85	1	27	9.55	1772063074_E11	interneurons	Int8
ca1hippocampus	1	10445	28	1	24	12.7	1772066100_D04	interneurons	Int7
ca1hippocampus	1	9761	22	1	24	7.54	1772066100_F03	interneurons	Int4
ca1hippocampus	1	9924	4	1	24	7.16	1772067093_D01	interneurons	Int4
ca1hippocampus	1	8320	5	1	24	11.5	1772066100_E01	interneurons	Int7
sscortex	1	8495	3	1	28	9.11	1772067073_C01	interneurons	Int11
ca1hippocampus	1	8171	82	1	31	10.8	1772067083_B11	interneurons	Int7
ca1hippocampus	1	12498	94	-1	26	10.6	1772067054_F12	interneurons	Int4
sscortex	1	9902	28	1	20	8.34	1772058177_D04	interneurons	Int1
ca1hippocampus	1	10500	24	1	31	9.28	1772067082_H03	interneurons	Int4
sscortex	1	9443	4	-1	20	11	1772071017_D01	interneurons	Int11
ca1hippocampus	1	9497	64	1	24	9.75	1772067094_H08	interneurons	Int2
ca1hippocampus	1	11046	1	-1	26	12.7	1772067096_A01	interneurons	Int11
sscortex	1	10420	64	1	26	11.8	1772058148_H08	interneurons	Int12
ca1hippocampus	1	9804	22	1	24	7.03	1772067093_F03	interneurons	Int13
sscortex	1	13666	61	1	21	10.6	1772071015_E08	interneurons	Int15
ca1hippocampus	1	5587	11	1	31	8.05	1772067083_C02	interneurons	Int2
ca1hippocampus	1	15713	56	1	24	12.6	1772066100_H07	interneurons	Int3
sscortex	1	12132	27	1	21	8.85	1772071014_C04	interneurons	Int5
ca1hippocampus	1	10729	39	-1	26	0	1772067096_G05	interneurons	Int4
sscortex	1	10737	57	-1	20	11.9	1772071017_A08	interneurons	Int10
ca1hippocampus	1	6743	31	-1	26	11.5	1772066097_G04	interneurons	Int15
ca1hippocampus	1	10685	65	1	24	12.7	1772067094_A09	interneurons	Int3
ca1hippocampus	1	5791	36	1	31	9.75	1772067082_D05	interneurons	Int13
ca1hippocampus	1	5482	18	1	31	8.01	1772067082_B03	interneurons	Int2
sscortex	1	8002	42	1	20	10.5	1772063064_B06	interneurons	Int9
ca1hippocampus	1	13364	28	1	31	15.3	1772067082_D04	interneurons	Int13
sscortex	1	9972	57	1	25	7.61	1772067065_A08	interneurons	Int16
ca1hippocampus	1	9216	62	1	24	10	1772066100_F08	interneurons	Int13
ca1hippocampus	1	9526	11	1	31	0	1772067082_C02	interneurons	Int13
ca1hippocampus	1	11104	10	1	31	0	1772067082_B02	interneurons	Int13
ca1hippocampus	1	18561	56	1	24	7.22	1772067093_H07	interneurons	Int3
sscortex	1	16342	41	-1	20	12.4	1772071017_A06	interneurons	Int16
sscortex	1	12502	94	1	21	10.4	1772071014_F12	interneurons	Int15
sscortex	1	12400	13	1	21	10.5	1772071014_E02	interneurons	Int15
sscortex	2	18876	16	1	26	0	1772067069_H02	pyramidal SS	(none)
sscortex	2	29665	50	-1	21	10.2	1772063071_B07	pyramidal SS	S1PyrL4
sscortex	2	33669	30	1	28	10.6	1772067073_F04	pyramidal SS	ClauPyr
sscortex	2	24919	17	1	26	14.9	1772067069_A03	pyramidal SS	S1PyrL4
sscortex	2	31438	29	1	25	13	1772067066_E04	pyramidal SS	S1PyrL5
sscortex	2	55428	35	-1	24	14.7	1772067063_C05	pyramidal SS	S1PyrL5
sscortex	2	16902	91	1	26	11.3	1772067069_C12	pyramidal SS	S1PyrL4
sscortex	2	37572	91	-1	24	13.7	1772067064_C12	pyramidal SS	S1PyrL5
sscortex	2	23984	54	-1	23	21.9	1772071041_F07	pyramidal SS	S1PyrL5
sscortex	2	22186	26	-1	23	11.3	1772071040_B04	pyramidal SS	(none)
sscortex	2	34477	69	-1	24	12	1772067063_E09	pyramidal SS	S1PyrL4
sscortex	2	21183	28	1	26	9.36	1772067070_D04	pyramidal SS	S1PyrL4
sscortex	2	37386	51	-1	24	0	1772067064_C07	pyramidal SS	S1PyrL5
sscortex	2	22943	81	1	26	11.6	1772067069_A11	pyramidal SS	S1PyrL23
sscortex	2	39703	72	-1	24	10.9	1772067064_H09	pyramidal SS	S1PyrL5
sscortex	2	21217	2	-1	23	12.5	1772071040_B01	pyramidal SS	(none)
sscortex	2	33058	26	-1	24	10.9	1772067064_B04	pyramidal SS	S1PyrL4
sscortex	2	32795	93	-1	21	10.8	1772063063_E12	pyramidal SS	S1PyrDL
sscortex	2	18666	76	1	26	10.8	1772067069_D10	pyramidal SS	S1PyrL4
sscortex	2	25878	18	1	22	12.4	1772062109_B03	pyramidal SS	S1PyrL23
sscortex	2	43291	67	-1	24	11.1	1772067064_C09	pyramidal SS	S1PyrL4
sscortex	2	27368	12	-1	24	0	1772067064_D02	pyramidal SS	S1PyrL4
sscortex	2	19582	80	1	26	13.4	1772067069_H10	pyramidal SS	S1PyrL23
sscortex	2	12546	7	-1	20	11.8	1772071017_G01	pyramidal SS	S1PyrL4
sscortex	2	26928	10	-1	24	10.6	1772067063_B02	pyramidal SS	S1PyrL4
sscortex	2	34920	49	-1	23	10.8	1772060240_A07	pyramidal SS	S1PyrL4
sscortex	2	19837	1	1	28	12.8	1772067073_A01	pyramidal SS	S1PyrL4
sscortex	2	29021	2	-1	24	0	1772067064_B01	pyramidal SS	S1PyrL5
sscortex	2	24438	41	1	28	10.8	1772067074_A06	pyramidal SS	S1PyrL4
sscortex	2	25683	26	1	22	16.5	1772062116_B04	pyramidal SS	S1PyrL5a
sscortex	2	28668	71	-1	23	6.06	1772071041_G09	pyramidal SS	S1PyrL5
sscortex	2	42083	10	1	26	11.9	1772067069_B02	pyramidal SS	S1PyrL23
sscortex	2	12923	3	1	26	7.21	1772067070_C01	pyramidal SS	S1PyrL23
sscortex	2	14485	17	1	26	11.7	1772067070_A03	pyramidal SS	S1PyrL23
sscortex	2	21850	43	-1	20	11.5	1772071017_C06	pyramidal SS	S1PyrL23
sscortex	2	38690	34	-1	24	13.3	1772067064_B05	pyramidal SS	S1PyrL23
sscortex	2	41191	91	1	28	15.6	1772067073_C12	pyramidal SS	S1PyrL23
sscortex	2	42655	11	-1	24	9.56	1772067064_C02	pyramidal SS	S1PyrL23
sscortex	2	23603	87	1	26	9.48	1772067070_G11	pyramidal SS	S1PyrL23
sscortex	2	30183	54	1	28	0	1772067074_F07	pyramidal SS	S1PyrL23
sscortex	2	37823	47	1	26	13.3	1772067069_G06	pyramidal SS	S1PyrL23
sscortex	2	24465	54	1	26	14.5	1772067070_F07	pyramidal SS	S1PyrL23
sscortex	2	25556	88	-1	23	11.5	1772071041_H11	pyramidal SS	S1PyrL23
sscortex	2	17038	41	1	25	14.8	1772067066_A06	pyramidal SS	S1PyrL23
sscortex	2	17734	63	-1	23	8.68	1772071040_G08	pyramidal SS	S1PyrL23
sscortex	2	29293	15	-1	24	9.15	1772067064_G02	pyramidal SS	S1PyrL23
sscortex	2	21029	5	-1	23	7.77	1772071040_E01	pyramidal SS	S1PyrL23
sscortex	2	16692	22	1	26	8.56	1772067070_F03	pyramidal SS	S1PyrL23
sscortex	2	25550	36	1	28	12.4	1772067074_D05	pyramidal SS	S1PyrL23
sscortex	2	19108	23	1	26	17.7	1772067069_G03	pyramidal SS	S1PyrL23
sscortex	2	18631	85	1	26	10.4	1772067070_E11	pyramidal SS	S1PyrL23
sscortex	2	31160	84	-1	20	11.2	1772071017_D11	pyramidal SS	S1PyrL23
sscortex	2	15114	93	-1	23	12	1772071041_E12	pyramidal SS	(none)
sscortex	2	17344	70	-1	23	0	1772071041_F09	pyramidal SS	(none)
sscortex	2	16164	68	-1	23	0	1772071041_D09	pyramidal SS	S1PyrL23
sscortex	2	14172	96	-1	23	0	1772071041_H12	pyramidal SS	S1PyrL23
sscortex	2	21376	62	1	28	12.2	1772067073_F08	pyramidal SS	S1PyrL23
sscortex	2	29960	28	-1	23	10.2	1772071041_D04	pyramidal SS	(none)
sscortex	2	22566	38	-1	23	11.5	1772071040_F05	pyramidal SS	S1PyrDL
sscortex	2	14003	5	-1	23	8.63	1772071041_E01	pyramidal SS	(none)
sscortex	2	17002	55	-1	23	0	1772071041_G07	pyramidal SS	(none)
