id1	id2	cell_type	coefficient	statistic	z_score
E-MTAB-5061	GSE81547	delta	binomial	0.109335979229739	24.3569259571451
E-MTAB-5061	GSE81608	delta	binomial	0.0789889390758512	30.9732709277641
E-MTAB-5061	GSE84133_human	delta	binomial	0.0920624210864505	17.3343070585666
GSE81547	GSE81608	delta	binomial	0.0641794855753293	20.2047281720221
GSE81547	GSE84133_human	delta	binomial	0.106918456624921	19.3099154717549
E-MTAB-5061	GSE81547	beta	pearson	0.0517096984309002	23.7263525439109
GSE81608	GSE84133_human	delta	binomial	0.0589915951324888	14.8072439169549
GSE85241	E-MTAB-5061	alpha	cosine	0.642038673750835	58.6203145942871
GSE85241	GSE81547	alpha	cosine	0.500225883415462	45.7204078651324
GSE85241	GSE81608	alpha	cosine	0.566153425789012	48.4245729283751
GSE85241	GSE84133_human	alpha	cosine	0.477157984605233	28.2330433259658
E-MTAB-5061	GSE81547	alpha	cosine	0.589747381149658	58.5378373370462
E-MTAB-5061	GSE81608	alpha	cosine	0.599478943178515	57.3939048719303
E-MTAB-5061	GSE84133_human	alpha	cosine	0.634528368008951	38.8730263476249
GSE81547	GSE81608	alpha	cosine	0.554174147289921	51.3414379817984
GSE81547	GSE84133_human	alpha	cosine	0.598593495834648	39.5716941260607
E-MTAB-5061	GSE81608	beta	pearson	0.0266599870612372	82.2213465749732
GSE81608	GSE84133_human	alpha	cosine	0.559724112633524	32.8040072742005
GSE85241	E-MTAB-5061	beta	cosine	0.503066531489001	58.0672386989955
GSE85241	GSE81547	beta	cosine	0.319041957268945	30.9982886808958
GSE85241	GSE81608	beta	cosine	0.482884823791562	49.8267267099804
GSE85241	GSE84133_human	beta	cosine	0.463660058440287	30.3614820894549
E-MTAB-5061	GSE81547	beta	cosine	0.477006185976914	50.0159935786844
E-MTAB-5061	GSE81608	beta	cosine	0.485785861318441	63.0093532550643
E-MTAB-5061	GSE84133_human	beta	cosine	0.557007185679766	35.2570179392746
GSE81547	GSE81608	beta	cosine	0.430596224021542	47.9269305773553
GSE81547	GSE84133_human	beta	cosine	0.475191810668023	32.4589628235767
E-MTAB-5061	GSE84133_human	beta	pearson	0.0984820973684697	30.0600917421582
GSE81608	GSE84133_human	beta	cosine	0.51920396715421	30.4321422393543
GSE85241	E-MTAB-5061	delta	cosine	0.505277682991996	61.554918242249
GSE85241	GSE81547	delta	cosine	0.294895768374211	35.6649583046564
GSE85241	GSE81608	delta	cosine	0.346282504180261	42.8863618315569
GSE85241	GSE84133_human	delta	cosine	0.446012320123867	25.5817037380904
E-MTAB-5061	GSE81547	delta	cosine	0.32560885259254	44.0063469218498
E-MTAB-5061	GSE81608	delta	cosine	0.328007743554529	50.5256317511998
E-MTAB-5061	GSE84133_human	delta	cosine	0.5154119088488	32.935686858994
GSE81547	GSE81608	delta	cosine	0.230058978204418	31.0504580498033
GSE81547	GSE84133_human	delta	cosine	0.37195730923999	27.2097470860315
GSE81547	GSE81608	beta	pearson	0.0355213081094685	46.445613937575
GSE81608	GSE84133_human	delta	cosine	0.38765036239838	30.7131133327105
GSE85241	E-MTAB-5061	alpha	jaccard	0.686763234943183	61.5187560279963
GSE85241	GSE81547	alpha	jaccard	0.603008501289296	46.9663532670645
GSE85241	GSE81608	alpha	jaccard	0.655241733645447	52.3739946740945
GSE85241	GSE84133_human	alpha	jaccard	0.415480929129798	22.4979757021346
E-MTAB-5061	GSE81547	alpha	jaccard	0.727457535111281	64.1055652372244
E-MTAB-5061	GSE81608	alpha	jaccard	0.69205930261363	68.5869821390245
E-MTAB-5061	GSE84133_human	alpha	jaccard	0.544744390247236	30.1886393273507
GSE81547	GSE81608	alpha	jaccard	0.675524843550189	54.0483155861987
GSE81547	GSE84133_human	alpha	jaccard	0.585020170987586	30.8780837445082
GSE81547	GSE84133_human	beta	pearson	0.267621439038493	26.9818598366479
GSE81608	GSE84133_human	alpha	jaccard	0.467776690620833	27.1733466460388
GSE85241	E-MTAB-5061	beta	jaccard	0.600840580357407	62.2721881585576
GSE85241	GSE81547	beta	jaccard	0.488003084387991	38.6010435519264
GSE85241	GSE81608	beta	jaccard	0.616801102837631	50.9801679418223
GSE85241	GSE84133_human	beta	jaccard	0.424265405593369	24.7337740475389
E-MTAB-5061	GSE81547	beta	jaccard	0.65868401784861	47.8652247222932
E-MTAB-5061	GSE81608	beta	jaccard	0.610661758400967	56.8145227614622
E-MTAB-5061	GSE84133_human	beta	jaccard	0.509683486369369	30.9496665614345
GSE81547	GSE81608	beta	jaccard	0.603550102740212	44.1166773986168
GSE81547	GSE84133_human	beta	jaccard	0.545008461912818	34.1643778418729
GSE85241	GSE81547	alpha	pearson	0.277825521012527	36.8072505329588
GSE81608	GSE84133_human	beta	pearson	0.0763460905822868	30.7098995377514
GSE81608	GSE84133_human	beta	jaccard	0.4708482379733	24.3624954006768
GSE85241	E-MTAB-5061	delta	jaccard	0.626203620160135	57.5590814773591
GSE85241	GSE81547	delta	jaccard	0.46841931467454	40.7600841862446
GSE85241	GSE81608	delta	jaccard	0.57000960788171	52.5000569865459
GSE85241	GSE84133_human	delta	jaccard	0.427636849338213	22.4001446452961
E-MTAB-5061	GSE81547	delta	jaccard	0.563814366634068	47.4756210836789
E-MTAB-5061	GSE81608	delta	jaccard	0.568217977888067	55.2552095185001
E-MTAB-5061	GSE84133_human	delta	jaccard	0.525995046419588	27.3423515067162
GSE81547	GSE81608	delta	jaccard	0.487839164395508	46.8539096763331
GSE81547	GSE84133_human	delta	jaccard	0.48733144696092	27.8944172887896
GSE85241	E-MTAB-5061	delta	pearson	0.071279578398972	24.8833559757395
GSE81608	GSE84133_human	delta	jaccard	0.442906653708959	25.309298269011
GSE85241	E-MTAB-5061	alpha	canberra	0.441183813753888	52.2274097906893
GSE85241	GSE81547	alpha	canberra	0.418039570845354	34.76603017424
GSE85241	GSE81608	alpha	canberra	0.484890477613912	52.6358794605319
GSE85241	GSE84133_human	alpha	canberra	0.300432367494063	18.6214021601147
E-MTAB-5061	GSE81547	alpha	canberra	0.38929621531237	39.7362023135391
E-MTAB-5061	GSE81608	alpha	canberra	0.518400582609388	70.7036076451955
E-MTAB-5061	GSE84133_human	alpha	canberra	0.308801353132845	21.7074014583088
GSE81547	GSE81608	alpha	canberra	0.499637434378638	48.3609446419924
GSE81547	GSE84133_human	alpha	canberra	0.432166037707009	23.7520137499792
GSE85241	GSE81547	delta	pearson	0.112478165223608	25.7252048202356
GSE81608	GSE84133_human	alpha	canberra	0.329937270106721	22.3511097272226
GSE85241	E-MTAB-5061	beta	canberra	0.345011083924332	45.3072424964737
GSE85241	GSE81547	beta	canberra	0.321103572801388	33.3137392304202
GSE85241	GSE81608	beta	canberra	0.43124033711097	45.5960125388809
GSE85241	GSE84133_human	beta	canberra	0.315099595601208	20.5712401208968
E-MTAB-5061	GSE81547	beta	canberra	0.401552848532624	44.2097067327423
E-MTAB-5061	GSE81608	beta	canberra	0.435602690033096	50.4320516437369
E-MTAB-5061	GSE84133_human	beta	canberra	0.295329979353438	22.4208242420952
GSE81547	GSE81608	beta	canberra	0.441779090279078	37.2996897427551
GSE81547	GSE84133_human	beta	canberra	0.37254650210899	21.2991548412093
GSE85241	GSE81608	delta	pearson	0.0134527386034643	8.52289075181421
GSE81608	GSE84133_human	beta	canberra	0.346387515344579	22.1519313677152
GSE85241	E-MTAB-5061	delta	canberra	0.398354335641113	50.7158191956361
GSE85241	GSE81547	delta	canberra	0.300053559315946	31.4252436210416
GSE85241	GSE81608	delta	canberra	0.387568089370543	51.8087843581944
GSE85241	GSE84133_human	delta	canberra	0.307337389561966	18.8870673660056
E-MTAB-5061	GSE81547	delta	canberra	0.308316811403446	36.9879094450408
E-MTAB-5061	GSE81608	delta	canberra	0.407779152674845	56.5552142626275
E-MTAB-5061	GSE84133_human	delta	canberra	0.29938334471987	23.2093067275685
GSE81547	GSE81608	delta	canberra	0.314190991632628	40.0977607644898
GSE81547	GSE84133_human	delta	canberra	0.320748246019102	20.4079284359795
GSE85241	GSE84133_human	delta	pearson	0.282440953003222	25.9863707138634
GSE81608	GSE84133_human	delta	canberra	0.312168478625024	21.4049420378692
GSE85241	E-MTAB-5061	alpha	euclidean	0.438303964833702	43.6620866373924
GSE85241	GSE81547	alpha	euclidean	0.629211136069042	51.735622514541
GSE85241	GSE81608	alpha	euclidean	0.470730689734089	42.957302830892
GSE85241	GSE84133_human	alpha	euclidean	0.662940359903193	45.1366603957039
E-MTAB-5061	GSE81547	alpha	euclidean	0.373967212361228	31.6167162032321
E-MTAB-5061	GSE81608	alpha	euclidean	0.702571862842022	78.5975686372896
E-MTAB-5061	GSE84133_human	alpha	euclidean	0.575841838839803	34.790341370433
GSE81547	GSE81608	alpha	euclidean	0.465295747816252	36.8856407071644
GSE81547	GSE84133_human	alpha	euclidean	0.500699443046997	26.6293070427994
E-MTAB-5061	GSE81547	delta	pearson	0.0372736278583245	28.4924421132568
GSE81608	GSE84133_human	alpha	euclidean	0.515579656037626	27.7044842608255
GSE85241	E-MTAB-5061	beta	euclidean	0.37821401553086	38.3309494778312
GSE85241	GSE81547	beta	euclidean	0.574012877821492	43.8042415179224
GSE85241	GSE81608	beta	euclidean	0.413930181539346	40.6284534848519
GSE85241	GSE84133_human	beta	euclidean	0.648656510613724	40.2238055992417
E-MTAB-5061	GSE81547	beta	euclidean	0.455594087825358	40.7629715779999
E-MTAB-5061	GSE81608	beta	euclidean	0.723915025390856	68.6835985618998
E-MTAB-5061	GSE84133_human	beta	euclidean	0.517165273759719	30.9735579530545
GSE81547	GSE81608	beta	euclidean	0.514320115759547	40.3372206229101
GSE81547	GSE84133_human	beta	euclidean	0.511497222814205	29.8080389047692
E-MTAB-5061	GSE81608	delta	pearson	0.0125245488886366	23.3864507096604
GSE81608	GSE84133_human	beta	euclidean	0.485081411357064	24.9401545076015
GSE85241	E-MTAB-5061	delta	euclidean	0.402304458232024	42.5845582561025
GSE85241	GSE81547	delta	euclidean	0.539426319042107	43.6708105411323
GSE85241	GSE81608	delta	euclidean	0.42322649785196	39.2642220607646
GSE85241	GSE84133_human	delta	euclidean	0.665114823060472	43.6514341928606
E-MTAB-5061	GSE81547	delta	euclidean	0.327846525013601	26.1109276733359
E-MTAB-5061	GSE81608	delta	euclidean	0.658280127395289	58.2949778454993
E-MTAB-5061	GSE84133_human	delta	euclidean	0.523456215109118	32.3709057264525
GSE81547	GSE81608	delta	euclidean	0.421245011899214	35.4419346268071
GSE81547	GSE84133_human	delta	euclidean	0.414150461365283	24.8275129631363
E-MTAB-5061	GSE84133_human	delta	pearson	0.0800616040236124	25.270010679606
GSE81608	GSE84133_human	delta	euclidean	0.500223799446516	26.2221637287357
GSE85241	E-MTAB-5061	alpha	manhattan	0.487825523319389	48.3199464306759
GSE85241	GSE81547	alpha	manhattan	0.687785941333537	56.9408863784405
GSE85241	GSE81608	alpha	manhattan	0.561631677176091	51.4499624485396
GSE85241	GSE84133_human	alpha	manhattan	0.638850186137	44.4567141993068
E-MTAB-5061	GSE81547	alpha	manhattan	0.494483240957006	43.5425353847497
E-MTAB-5061	GSE81608	alpha	manhattan	0.711301768152375	76.9618139233722
E-MTAB-5061	GSE84133_human	alpha	manhattan	0.592440889917458	36.964920829905
GSE81547	GSE81608	alpha	manhattan	0.603532652160924	47.5347200170341
GSE81547	GSE84133_human	alpha	manhattan	0.555196255881418	28.7849136170512
GSE81547	GSE81608	delta	pearson	0.0113953192901176	12.2597986554745
GSE81608	GSE84133_human	alpha	manhattan	0.556474573978872	30.2179780298684
GSE85241	E-MTAB-5061	beta	manhattan	0.430743524777185	43.1730456994181
GSE85241	GSE81547	beta	manhattan	0.62576660369557	46.1574587203175
GSE85241	GSE81608	beta	manhattan	0.503840786665574	49.8959205139792
GSE85241	GSE84133_human	beta	manhattan	0.635224060222863	39.1733653289168
E-MTAB-5061	GSE81547	beta	manhattan	0.558113220154087	46.2970156378855
E-MTAB-5061	GSE81608	beta	manhattan	0.725804831251693	69.982601360759
E-MTAB-5061	GSE84133_human	beta	manhattan	0.557939137417451	33.0093690098513
GSE81547	GSE81608	beta	manhattan	0.616895065699573	48.6347108633725
GSE81547	GSE84133_human	beta	manhattan	0.555799322002912	31.6925167861724
GSE81547	GSE84133_human	delta	pearson	0.127611914765795	21.6587131884372
GSE81608	GSE84133_human	beta	manhattan	0.535572424270508	27.5402166316594
GSE85241	E-MTAB-5061	delta	manhattan	0.459173053010876	48.4786759770848
GSE85241	GSE81547	delta	manhattan	0.619538618133368	51.0100378681109
GSE85241	GSE81608	delta	manhattan	0.513047366845278	44.9611591226544
GSE85241	GSE84133_human	delta	manhattan	0.653588171987137	42.6596114672017
E-MTAB-5061	GSE81547	delta	manhattan	0.464896903659585	36.8855513646256
E-MTAB-5061	GSE81608	delta	manhattan	0.703275005681499	60.7949334338123
E-MTAB-5061	GSE84133_human	delta	manhattan	0.562836336522943	35.0115649823971
GSE81547	GSE81608	delta	manhattan	0.570133850086537	47.1219930399965
GSE81547	GSE84133_human	delta	manhattan	0.498840317686493	29.2507640537178
GSE85241	GSE81608	alpha	pearson	0.0891740491942114	40.8971331879548
GSE81608	GSE84133_human	delta	pearson	0.0282102755408638	12.4279295555227
GSE81608	GSE84133_human	delta	manhattan	0.552929426053856	29.7439661472194
GSE85241	E-MTAB-5061	alpha	weighted_rank	0.0625731435095362	9.37764668929442
GSE85241	GSE81547	alpha	weighted_rank	0.236158235529437	37.7684065048118
GSE85241	GSE81608	alpha	weighted_rank	0.199518985228936	40.0766704703642
GSE85241	GSE84133_human	alpha	weighted_rank	0.364790033733717	35.3282587287354
E-MTAB-5061	GSE81547	alpha	weighted_rank	0.122149545742253	27.9233096887051
E-MTAB-5061	GSE81608	alpha	weighted_rank	0.0807695162475989	22.5321269499916
E-MTAB-5061	GSE84133_human	alpha	weighted_rank	0.0650076446091545	8.84235342127411
GSE81547	GSE81608	alpha	weighted_rank	0.13502779755923	37.5973817561558
GSE81547	GSE84133_human	alpha	weighted_rank	0.262678313470115	33.7807788940356
GSE85241	E-MTAB-5061	alpha	spearman	-0.0739739520020484	-11.9748928869054
GSE81608	GSE84133_human	alpha	weighted_rank	0.172578585246527	26.8142368850517
GSE85241	E-MTAB-5061	beta	weighted_rank	0.0544244989942178	11.4062227332976
GSE85241	GSE81547	beta	weighted_rank	0.166113841645253	25.8474047941436
GSE85241	GSE81608	beta	weighted_rank	0.116491384113376	31.4741912052198
GSE85241	GSE84133_human	beta	weighted_rank	0.39508929050596	39.8749334578071
E-MTAB-5061	GSE81547	beta	weighted_rank	0.0425731915014582	7.86295976710639
E-MTAB-5061	GSE81608	beta	weighted_rank	0.0457287977494708	14.6355375480314
E-MTAB-5061	GSE84133_human	beta	weighted_rank	0.0208376521725801	2.13584669904136
GSE81547	GSE81608	beta	weighted_rank	0.072349055744296	23.5914317804284
GSE81547	GSE84133_human	beta	weighted_rank	0.270393908561156	28.6104251642144
GSE85241	GSE81547	alpha	spearman	0.229126888238823	35.4471945699953
GSE81608	GSE84133_human	beta	weighted_rank	0.0888914000313599	15.2218348788664
GSE85241	E-MTAB-5061	delta	weighted_rank	0.0502637654641426	11.5394855222881
GSE85241	GSE81547	delta	weighted_rank	0.11141176339016	20.244158470493
GSE85241	GSE81608	delta	weighted_rank	0.051918557521422	17.1825678071627
GSE85241	GSE84133_human	delta	weighted_rank	0.240126790590231	25.7221005349349
E-MTAB-5061	GSE81547	delta	weighted_rank	0.0544462622023859	16.9774080610264
E-MTAB-5061	GSE81608	delta	weighted_rank	0.0122256206315935	5.96582679727673
E-MTAB-5061	GSE84133_human	delta	weighted_rank	0.0296479135361091	6.24761374561028
GSE81547	GSE81608	delta	weighted_rank	0.0275784495535741	10.0318757111221
GSE81547	GSE84133_human	delta	weighted_rank	0.0791039041374874	12.8484210201969
GSE85241	GSE81608	alpha	spearman	0.10084098628481	21.2868922396126
GSE81608	GSE84133_human	delta	weighted_rank	0.0369524056069017	8.37224220726818
GSE85241	E-MTAB-5061	alpha	hamming	0.499908744260191	391.320830866356
GSE85241	GSE81547	alpha	hamming	0.138435756127368	35.84232665573
GSE85241	GSE81608	alpha	hamming	0.473766577027704	861.721983591383
GSE85241	GSE84133_human	alpha	hamming	-0.123729861390527	-12.351324722336
E-MTAB-5061	GSE81547	alpha	hamming	0.037850434563681	6.83648091458605
E-MTAB-5061	GSE81608	alpha	hamming	0.408794724444045	469.177372053817
E-MTAB-5061	GSE84133_human	alpha	hamming	-0.203401942714588	-17.9948577125989
GSE81547	GSE81608	alpha	hamming	0.332752154267869	149.821745135754
GSE81547	GSE84133_human	alpha	hamming	0.191720113452061	42.9016030429244
GSE85241	GSE84133_human	alpha	spearman	0.389819828285454	34.7827340683613
GSE81608	GSE84133_human	alpha	hamming	-0.0741800927118818	-8.20491612074248
GSE85241	E-MTAB-5061	beta	hamming	0.421334169563173	259.150472822122
GSE85241	GSE81547	beta	hamming	-0.0233050817525929	-4.43424895113871
GSE85241	GSE81608	beta	hamming	0.363347093862363	484.302339236602
GSE85241	GSE84133_human	beta	hamming	-0.149239318431785	-15.3063773466323
E-MTAB-5061	GSE81547	beta	hamming	0.0797218351728504	12.1249813436702
E-MTAB-5061	GSE81608	beta	hamming	0.387625469060984	431.725380393571
E-MTAB-5061	GSE84133_human	beta	hamming	-0.162874714907119	-16.3355931118864
GSE81547	GSE81608	beta	hamming	0.200947747991072	61.2067404558737
GSE81547	GSE84133_human	beta	hamming	0.281882252072644	86.8297245362317
E-MTAB-5061	GSE81547	alpha	spearman	0.0811058633313569	25.6174566695778
GSE81608	GSE84133_human	beta	hamming	-0.0727282785499981	-8.19730641729619
GSE85241	E-MTAB-5061	delta	hamming	0.431593101675235	367.135955829555
GSE85241	GSE81547	delta	hamming	-0.00010559231868369	-0.0884445226661814
GSE85241	GSE81608	delta	hamming	0.377910383925417	420.174823256571
GSE85241	GSE84133_human	delta	hamming	-0.142902036380021	-13.8155880853725
E-MTAB-5061	GSE81547	delta	hamming	-0.0375165236097518	-5.57741926714641
E-MTAB-5061	GSE81608	delta	hamming	0.342742367836238	303.333074824678
E-MTAB-5061	GSE84133_human	delta	hamming	-0.211766745815512	-17.1242892659636
GSE81547	GSE81608	delta	hamming	0.0858691965237678	20.6281278590495
GSE81547	GSE84133_human	delta	hamming	0.31731808139506	66.2390938195904
E-MTAB-5061	GSE81608	alpha	spearman	0.0833208713272782	30.3330783851572
GSE81608	GSE84133_human	delta	hamming	-0.0837310105243291	-8.91252518199953
GSE85241	E-MTAB-5061	alpha	dice	0.686763234943183	61.5187560279963
GSE85241	GSE81547	alpha	dice	0.603008501289296	46.9663532670645
GSE85241	GSE81608	alpha	dice	0.655241733645447	52.3739946740945
GSE85241	GSE84133_human	alpha	dice	0.415480929129798	22.4979757021346
E-MTAB-5061	GSE81547	alpha	dice	0.727457535111281	64.1055652372244
E-MTAB-5061	GSE81608	alpha	dice	0.69205930261363	68.5869821390245
E-MTAB-5061	GSE84133_human	alpha	dice	0.544744390247236	30.1886393273507
GSE81547	GSE81608	alpha	dice	0.675524843550189	54.0483155861987
GSE81547	GSE84133_human	alpha	dice	0.585020170987586	30.8780837445082
E-MTAB-5061	GSE84133_human	alpha	spearman	0.0816240426164281	14.7116783554198
GSE81608	GSE84133_human	alpha	dice	0.467776690620833	27.1733466460388
GSE85241	E-MTAB-5061	beta	dice	0.600840580357407	62.2721881585576
GSE85241	GSE81547	beta	dice	0.488003084387991	38.6010435519264
GSE85241	GSE81608	beta	dice	0.616801102837631	50.9801679418223
GSE85241	GSE84133_human	beta	dice	0.424265405593369	24.7337740475389
E-MTAB-5061	GSE81547	beta	dice	0.65868401784861	47.8652247222932
E-MTAB-5061	GSE81608	beta	dice	0.610661758400967	56.8145227614622
E-MTAB-5061	GSE84133_human	beta	dice	0.509683486369369	30.9496665614345
GSE81547	GSE81608	beta	dice	0.603550102740212	44.1166773986168
GSE81547	GSE84133_human	beta	dice	0.545008461912818	34.1643778418729
GSE81547	GSE81608	alpha	spearman	0.103532978128708	37.0075248949619
GSE81608	GSE84133_human	beta	dice	0.4708482379733	24.3624954006768
GSE85241	E-MTAB-5061	delta	dice	0.626203620160135	57.5590814773591
GSE85241	GSE81547	delta	dice	0.46841931467454	40.7600841862446
GSE85241	GSE81608	delta	dice	0.57000960788171	52.5000569865459
GSE85241	GSE84133_human	delta	dice	0.427636849338213	22.4001446452961
E-MTAB-5061	GSE81547	delta	dice	0.563814366634068	47.4756210836789
E-MTAB-5061	GSE81608	delta	dice	0.568217977888067	55.2552095185001
E-MTAB-5061	GSE84133_human	delta	dice	0.525995046419588	27.3423515067162
GSE81547	GSE81608	delta	dice	0.487839164395508	46.8539096763331
GSE81547	GSE84133_human	delta	dice	0.48733144696092	27.8944172887896
GSE81547	GSE84133_human	alpha	spearman	0.267785072049153	33.254342253738
GSE81608	GSE84133_human	delta	dice	0.442906653708959	25.309298269011
GSE85241	E-MTAB-5061	alpha	phi_s	0.0546291936501499	103.62241673561
GSE85241	GSE81547	alpha	phi_s	0.127259423040644	368.072722104592
GSE85241	GSE81608	alpha	phi_s	0.109969624141506	459.434324278284
GSE85241	GSE84133_human	alpha	phi_s	-0.0339904642428945	-5.20847123260977
E-MTAB-5061	GSE81547	alpha	phi_s	0.156111584373716	573.471745747579
E-MTAB-5061	GSE81608	alpha	phi_s	0.0818583330043669	342.732664485908
E-MTAB-5061	GSE84133_human	alpha	phi_s	0.110559185551445	41.9952791906241
GSE81547	GSE81608	alpha	phi_s	0.101854353009416	354.776796113288
GSE81547	GSE84133_human	alpha	phi_s	0.0956630641943163	37.4747799001545
GSE85241	GSE84133_human	alpha	pearson	0.344116848454063	29.3137367951159
GSE81608	GSE84133_human	alpha	spearman	0.115654927595615	21.0077151473349
GSE81608	GSE84133_human	alpha	phi_s	0.049423916251701	23.2390568804244
GSE85241	E-MTAB-5061	beta	phi_s	0.0394150563945874	133.897436407492
GSE85241	GSE81547	beta	phi_s	0.08069317648463	158.627293343152
GSE85241	GSE81608	beta	phi_s	0.0548394351937959	237.208456879991
GSE85241	GSE84133_human	beta	phi_s	-0.0331447554566724	-4.9617728922271
E-MTAB-5061	GSE81547	beta	phi_s	0.0718562167674218	227.650764618376
E-MTAB-5061	GSE81608	beta	phi_s	0.0369097295414327	166.808814722539
E-MTAB-5061	GSE84133_human	beta	phi_s	0.0764288033309954	42.3468394689333
GSE81547	GSE81608	beta	phi_s	0.0686995705469563	223.726444232441
GSE81547	GSE84133_human	beta	phi_s	0.0893229448838939	37.9214720454871
GSE85241	E-MTAB-5061	beta	spearman	-0.00229239763490511	-0.492568587157354
GSE81608	GSE84133_human	beta	phi_s	0.0340863809337734	24.7551619212578
GSE85241	E-MTAB-5061	delta	phi_s	0.0256315642508981	80.3725394498169
GSE85241	GSE81547	delta	phi_s	0.0503538257341848	167.94486808433
GSE85241	GSE81608	delta	phi_s	0.0308287488377953	152.356275886949
GSE85241	GSE84133_human	delta	phi_s	-0.0396488106489046	-7.11057474897102
E-MTAB-5061	GSE81547	delta	phi_s	0.0335973089031752	99.4646007201183
E-MTAB-5061	GSE81608	delta	phi_s	0.01234710121228	58.9989108962687
E-MTAB-5061	GSE84133_human	delta	phi_s	0.0516671077857211	40.1800831559607
GSE81547	GSE81608	delta	phi_s	0.0185010760331844	60.9902152858956
GSE81547	GSE84133_human	delta	phi_s	0.0575111151821012	35.9716432019625
GSE85241	GSE81547	beta	spearman	0.1505996990801	22.2766723835214
GSE81608	GSE84133_human	delta	phi_s	0.0110096981792006	7.9491388123164
GSE85241	E-MTAB-5061	alpha	rho_p	0.0546291936501499	103.62241673561
GSE85241	GSE81547	alpha	rho_p	0.127259423040644	368.072722104592
GSE85241	GSE81608	alpha	rho_p	0.109969624141506	459.434324278284
GSE85241	GSE84133_human	alpha	rho_p	-0.0339904642428945	-5.20847123260977
E-MTAB-5061	GSE81547	alpha	rho_p	0.156111584373716	573.471745747579
